Date,Price,Open,High,Low,Change %
2006/12/20,7.8152,7.8196,7.8196,7.814,-0.07%
2006/12/21,7.816,7.8203,7.822,7.816,0.01%
2006/12/22,7.8165,7.8169,7.8213,7.814,0.01%
2006/12/25,7.8215,7.821,7.8215,7.8156,0.06%
2006/12/26,7.8207,7.8171,7.8209,7.8171,-0.01%
2006/12/27,7.816,7.8243,7.8243,7.816,-0.06%
2006/12/28,7.8135,7.8152,7.8167,7.8135,-0.03%
2006/12/29,7.8075,7.8085,7.8145,7.8072,-0.08%
2007/1/1,7.816,7.816,7.816,7.816,0.11%
2007/1/2,7.816,7.816,7.816,7.816,0.00%
2007/1/3,7.816,7.816,7.816,7.816,0.00%
2007/1/4,7.8055,7.8086,7.8107,7.8055,-0.13%
2007/1/5,7.809,7.8095,7.8145,7.807,0.04%
2007/1/8,7.8127,7.8131,7.816,7.8098,0.05%
2007/1/9,7.8066,7.8185,7.8185,7.8066,-0.08%
2007/1/10,7.8065,7.8091,7.8091,7.8056,0.00%
2007/1/11,7.7948,7.799,7.799,7.794,-0.15%
2007/1/12,7.7973,7.7997,7.8051,7.797,0.03%
2007/1/15,7.7931,7.796,7.7986,7.7905,-0.05%
2007/1/16,7.7901,7.7884,7.7901,7.7866,-0.04%
2007/1/17,7.775,7.7797,7.7865,7.775,-0.19%
2007/1/18,7.7705,7.7761,7.7761,7.7705,-0.06%
2007/1/19,7.7765,7.7791,7.7791,7.7718,0.08%
2007/1/22,7.7739,7.7785,7.7789,7.7739,-0.03%
2007/1/23,7.7765,7.7795,7.7808,7.7745,0.03%
2007/1/24,7.7724,7.7753,7.7786,7.772,-0.05%
2007/1/25,7.7682,7.7724,7.7724,7.7681,-0.05%
2007/1/26,7.777,7.771,7.7811,7.7703,0.11%
2007/1/29,7.774,7.7839,7.7839,7.774,-0.04%
2007/1/30,7.776,7.7789,7.7789,7.775,0.03%
2007/1/31,7.7748,7.7769,7.7769,7.7735,-0.02%
2007/2/1,7.7588,7.7592,7.7601,7.7547,-0.21%
2007/2/2,7.756,7.7606,7.7606,7.754,-0.04%
2007/2/5,7.7585,7.764,7.7653,7.7585,0.03%
2007/2/6,7.757,7.7584,7.7588,7.754,-0.02%
2007/2/7,7.748,7.7494,7.7494,7.748,-0.12%
2007/2/8,7.7488,7.7524,7.7524,7.746,0.01%
2007/2/9,7.7505,7.7578,7.7578,7.7505,0.02%
2007/2/12,7.756,7.747,7.7631,7.747,0.07%
2007/2/13,7.76,7.7595,7.7652,7.7515,0.05%
2007/2/14,7.759,7.753,7.759,7.753,-0.01%
2007/2/15,7.7555,7.7535,7.7555,7.7482,-0.05%
2007/2/16,7.7502,7.7397,7.7502,7.7387,-0.07%
2007/2/19,7.7502,7.7502,7.7502,7.7502,0.00%
2007/2/20,7.7502,7.7502,7.7502,7.7502,0.00%
2007/2/21,7.7502,7.7502,7.7502,7.7502,0.00%
2007/2/22,7.7502,7.7502,7.7502,7.7502,0.00%
2007/2/23,7.7502,7.7502,7.7502,7.7502,0.00%
2007/2/26,7.748,7.7501,7.7501,7.7455,-0.03%
2007/2/27,7.741,7.7474,7.7505,7.74,-0.09%
2007/2/28,7.738,7.7412,7.7435,7.737,-0.04%
2007/3/1,7.7432,7.7462,7.7462,7.7397,0.07%
2007/3/2,7.7447,7.7442,7.7447,7.7429,0.02%
2007/3/5,7.75,7.7396,7.75,7.7383,0.07%
2007/3/6,7.7416,7.7442,7.7466,7.7416,-0.11%
2007/3/7,7.74,7.7434,7.7434,7.7393,-0.02%
2007/3/8,7.74,7.7379,7.74,7.734,0.00%
2007/3/9,7.744,7.7434,7.745,7.741,0.05%
2007/3/12,7.7473,7.742,7.7478,7.742,0.04%
2007/3/13,7.7469,7.7386,7.7516,7.7383,-0.01%
2007/3/14,7.7412,7.7405,7.7425,7.7367,-0.07%
2007/3/15,7.744,7.7413,7.747,7.739,0.04%
2007/3/16,7.7358,7.7386,7.7432,7.7358,-0.11%
2007/3/19,7.7362,7.7337,7.7362,7.7327,0.01%
2007/3/20,7.7374,7.7384,7.7416,7.7371,0.02%
2007/3/21,7.7353,7.7342,7.7383,7.7327,-0.03%
2007/3/22,7.726,7.731,7.7351,7.726,-0.12%
2007/3/23,7.7325,7.733,7.7349,7.7305,0.08%
2007/3/26,7.7359,7.7265,7.7388,7.7265,0.04%
2007/3/27,7.7335,7.736,7.7375,7.7323,-0.03%
2007/3/28,7.7291,7.7295,7.7305,7.7282,-0.06%
2007/3/29,7.7271,7.7292,7.7298,7.7267,-0.03%
2007/3/30,7.7308,7.7337,7.7337,7.7308,0.05%
2007/4/2,7.7287,7.7293,7.7303,7.7277,-0.03%
2007/4/3,7.7315,7.7262,7.7315,7.7262,0.04%
2007/4/4,7.7346,7.7345,7.7346,7.7316,0.04%
2007/4/5,7.7267,7.7258,7.729,7.7248,-0.10%
2007/4/6,7.721,7.7251,7.7258,7.721,-0.07%
2007/4/9,7.7335,7.7285,7.7335,7.723,0.16%
2007/4/10,7.734,7.7325,7.734,7.729,0.01%
2007/4/11,7.7265,7.726,7.7292,7.725,-0.10%
2007/4/12,7.726,7.7264,7.7291,7.7244,-0.01%
2007/4/13,7.7217,7.7245,7.7249,7.7215,-0.06%
2007/4/16,7.7279,7.7207,7.7279,7.7207,0.08%
2007/4/17,7.7332,7.7268,7.7332,7.7268,0.07%
2007/4/18,7.7226,7.7272,7.7292,7.7212,-0.14%
2007/4/19,7.7165,7.7195,7.7195,7.7165,-0.08%
2007/4/20,7.7179,7.7155,7.7228,7.7155,0.02%
2007/4/23,7.723,7.7165,7.7285,7.7165,0.07%
2007/4/24,7.7259,7.7161,7.7282,7.7161,0.04%
2007/4/25,7.719,7.7245,7.7245,7.7181,-0.09%
2007/4/26,7.7264,7.7151,7.7264,7.7151,0.10%
2007/4/27,7.7216,7.7275,7.7275,7.7132,-0.06%
2007/4/30,7.7055,7.7048,7.707,7.7035,-0.21%
2007/5/1,7.7055,7.7055,7.7055,7.7055,0.00%
2007/5/2,7.7055,7.7055,7.7055,7.7055,0.00%
2007/5/3,7.7055,7.7055,7.7055,7.7055,0.00%
2007/5/4,7.7055,7.7055,7.7055,7.7055,0.00%
2007/5/7,7.7055,7.7055,7.7055,7.7055,0.00%
2007/5/8,7.696,7.702,7.702,7.6931,-0.12%
2007/5/9,7.6935,7.6964,7.6974,7.6931,-0.03%
2007/5/10,7.6939,7.6963,7.697,7.6939,0.01%
2007/5/11,7.6766,7.6863,7.6867,7.6766,-0.22%
2007/5/14,7.681,7.6735,7.681,7.672,0.06%
2007/5/15,7.6835,7.6805,7.6948,7.6805,0.03%
2007/5/16,7.6817,7.6837,7.6837,7.6807,-0.02%
2007/5/17,7.6705,7.6814,7.6814,7.6705,-0.15%
2007/5/18,7.6685,7.6824,7.6824,7.6685,-0.03%
2007/5/21,7.664,7.6642,7.665,7.662,-0.06%
2007/5/22,7.6545,7.667,7.6691,7.6525,-0.12%
2007/5/23,7.653,7.652,7.6588,7.648,-0.02%
2007/5/24,7.6519,7.6515,7.6529,7.6495,-0.01%
2007/5/25,7.6523,7.6523,7.654,7.6503,0.01%
2007/5/28,7.645,7.6505,7.6529,7.6435,-0.10%
2007/5/29,7.6502,7.6505,7.6536,7.647,0.07%
2007/5/30,7.646,7.6502,7.6502,7.644,-0.05%
2007/5/31,7.6475,7.6475,7.6526,7.646,0.02%
2007/6/1,7.6463,7.6457,7.6486,7.6426,-0.02%
2007/6/4,7.649,7.6478,7.6535,7.6478,0.04%
2007/6/5,7.6426,7.6527,7.6527,7.6385,-0.08%
2007/6/6,7.635,7.639,7.6391,7.6335,-0.10%
2007/6/7,7.648,7.644,7.652,7.643,0.17%
2007/6/8,7.655,7.658,7.6646,7.654,0.09%
2007/6/11,7.665,7.6775,7.6778,7.6615,0.13%
2007/6/12,7.6435,7.6699,7.6699,7.64,-0.28%
2007/6/13,7.632,7.6272,7.632,7.624,-0.15%
2007/6/14,7.6254,7.6246,7.6346,7.6216,-0.09%
2007/6/15,7.625,7.622,7.6267,7.62,-0.01%
2007/6/18,7.63,7.6206,7.63,7.6193,0.07%
2007/6/19,7.6175,7.6213,7.6227,7.6155,-0.16%
2007/6/20,7.6175,7.6158,7.6222,7.6137,0.00%
2007/6/21,7.619,7.6155,7.6218,7.6155,0.02%
2007/6/22,7.625,7.6224,7.625,7.615,0.08%
2007/6/25,7.6195,7.6182,7.6205,7.618,-0.07%
2007/6/26,7.616,7.6174,7.6197,7.614,-0.05%
2007/6/27,7.618,7.6165,7.618,7.6135,0.03%
2007/6/28,7.615,7.6165,7.6178,7.613,-0.04%
2007/6/29,7.6135,7.6174,7.6195,7.6135,-0.02%
2007/7/2,7.605,7.609,7.609,7.603,-0.11%
2007/7/3,7.594,7.5959,7.6038,7.591,-0.14%
2007/7/4,7.595,7.593,7.6007,7.593,0.01%
2007/7/5,7.598,7.595,7.606,7.5945,0.04%
2007/7/6,7.601,7.605,7.6138,7.601,0.04%
2007/7/9,7.6015,7.605,7.6078,7.5995,0.01%
2007/7/10,7.581,7.585,7.5865,7.581,-0.27%
2007/7/11,7.563,7.5697,7.5705,7.562,-0.24%
2007/7/12,7.566,7.5635,7.5752,7.5635,0.04%
2007/7/13,7.57,7.572,7.5724,7.564,0.05%
2007/7/16,7.5675,7.57,7.57,7.565,-0.03%
2007/7/17,7.562,7.5675,7.5675,7.561,-0.07%
2007/7/18,7.566,7.5665,7.5705,7.5635,0.05%
2007/7/19,7.563,7.564,7.5645,7.5615,-0.04%
2007/7/20,7.57,7.5647,7.5715,7.5625,0.09%
2007/7/23,7.562,7.5675,7.5675,7.5604,-0.11%
2007/7/24,7.5625,7.5618,7.5718,7.5615,0.01%
2007/7/25,7.557,7.5635,7.5635,7.5545,-0.07%
2007/7/26,7.5654,7.5648,7.5682,7.5633,0.11%
2007/7/27,7.56,7.559,7.569,7.559,-0.07%
2007/7/30,7.567,7.5686,7.5814,7.5645,0.09%
2007/7/31,7.5725,7.573,7.573,7.563,0.07%
2007/8/1,7.57,7.566,7.5745,7.563,-0.03%
2007/8/2,7.572,7.5716,7.5765,7.5695,0.03%
2007/8/3,7.565,7.568,7.576,7.564,-0.09%
2007/8/6,7.561,7.5591,7.5685,7.5555,-0.05%
2007/8/7,7.5703,7.565,7.5703,7.563,0.12%
2007/8/8,7.577,7.5695,7.577,7.569,0.09%
2007/8/9,7.5651,7.576,7.576,7.561,-0.16%
2007/8/10,7.574,7.5645,7.5795,7.5645,0.12%
2007/8/13,7.583,7.5745,7.583,7.571,0.12%
2007/8/14,7.5761,7.5807,7.5867,7.5742,-0.09%
2007/8/15,7.5847,7.5793,7.5877,7.5793,0.11%
2007/8/16,7.603,7.586,7.603,7.5857,0.24%
2007/8/17,7.595,7.6016,7.608,7.5945,-0.11%
2007/8/20,7.5875,7.595,7.6035,7.5875,-0.10%
2007/8/21,7.59,7.5879,7.595,7.5879,0.03%
2007/8/22,7.602,7.5918,7.6035,7.5915,0.16%
2007/8/23,7.584,7.6011,7.6011,7.584,-0.24%
2007/8/24,7.568,7.5825,7.5849,7.5645,-0.21%
2007/8/27,7.56,7.5682,7.5682,7.5595,-0.11%
2007/8/28,7.5555,7.5603,7.5603,7.5523,-0.06%
2007/8/29,7.549,7.559,7.559,7.549,-0.09%
2007/8/30,7.5445,7.5502,7.5567,7.543,-0.06%
2007/8/31,7.545,7.5435,7.555,7.5415,0.01%
2007/9/3,7.5449,7.5495,7.5506,7.543,0.00%
2007/9/4,7.55,7.545,7.5546,7.5435,0.07%
2007/9/5,7.5512,7.551,7.5551,7.548,0.02%
2007/9/6,7.5388,7.5508,7.5508,7.5388,-0.16%
2007/9/7,7.538,7.539,7.5435,7.538,-0.01%
2007/9/10,7.521,7.5401,7.5401,7.521,-0.23%
2007/9/11,7.523,7.5215,7.5288,7.521,0.03%
2007/9/12,7.5217,7.5235,7.5258,7.5205,-0.02%
2007/9/13,7.5105,7.517,7.517,7.5105,-0.15%
2007/9/14,7.516,7.515,7.5222,7.5115,0.07%
2007/9/17,7.523,7.5115,7.5255,7.5115,0.09%
2007/9/18,7.523,7.526,7.5294,7.522,0.00%
2007/9/19,7.513,7.518,7.518,7.512,-0.13%
2007/9/20,7.514,7.5125,7.5165,7.5105,0.01%
2007/9/21,7.503,7.5115,7.5115,7.5007,-0.15%
2007/9/24,7.509,7.507,7.5119,7.5055,0.08%
2007/9/25,7.513,7.5082,7.516,7.508,0.05%
2007/9/26,7.515,7.5115,7.515,7.504,0.03%
2007/9/27,7.5145,7.5155,7.5167,7.51,-0.01%
2007/9/28,7.506,7.5145,7.5145,7.506,-0.11%
2007/10/1,7.506,7.506,7.506,7.506,0.00%
2007/10/2,7.506,7.506,7.506,7.506,0.00%
2007/10/3,7.506,7.506,7.506,7.506,0.00%
2007/10/4,7.506,7.506,7.506,7.506,0.00%
2007/10/5,7.506,7.506,7.506,7.506,0.00%
2007/10/8,7.5036,7.506,7.5092,7.5005,-0.03%
2007/10/9,7.517,7.5045,7.5195,7.504,0.18%
2007/10/10,7.5115,7.5176,7.5176,7.508,-0.07%
2007/10/11,7.506,7.5118,7.5125,7.5025,-0.07%
2007/10/12,7.5105,7.5045,7.5125,7.5045,0.06%
2007/10/15,7.528,7.5105,7.5283,7.5096,0.23%
2007/10/16,7.518,7.525,7.5258,7.5126,-0.13%
2007/10/17,7.516,7.5156,7.5183,7.513,-0.03%
2007/10/18,7.511,7.515,7.5165,7.508,-0.07%
2007/10/19,7.5083,7.5102,7.5102,7.5024,-0.04%
2007/10/22,7.5095,7.502,7.513,7.502,0.02%
2007/10/23,7.5035,7.505,7.5115,7.5035,-0.08%
2007/10/24,7.4938,7.4933,7.4946,7.4915,-0.13%
2007/10/25,7.482,7.4925,7.4925,7.481,-0.16%
2007/10/26,7.488,7.483,7.4885,7.4804,0.08%
2007/10/29,7.475,7.4815,7.4815,7.4698,-0.17%
2007/10/30,7.4715,7.476,7.4825,7.471,-0.05%
2007/10/31,7.4715,7.4715,7.4725,7.461,0.00%
2007/11/1,7.461,7.461,7.461,7.4515,-0.14%
2007/11/2,7.4555,7.4535,7.4624,7.4535,-0.07%
2007/11/5,7.454,7.4545,7.4554,7.453,-0.02%
2007/11/6,7.454,7.455,7.4567,7.4532,0.00%
2007/11/7,7.4425,7.4535,7.4545,7.441,-0.15%
2007/11/8,7.4207,7.4358,7.4358,7.4203,-0.29%
2007/11/9,7.4115,7.422,7.422,7.411,-0.12%
2007/11/12,7.412,7.4115,7.415,7.4114,0.01%
2007/11/13,7.4335,7.413,7.4335,7.413,0.29%
2007/11/14,7.425,7.4305,7.4421,7.4239,-0.11%
2007/11/15,7.422,7.4255,7.432,7.421,-0.04%
2007/11/16,7.4245,7.423,7.4295,7.423,0.03%
2007/11/19,7.426,7.424,7.4297,7.424,0.02%
2007/11/20,7.4253,7.426,7.427,7.4195,-0.01%
2007/11/21,7.411,7.417,7.4205,7.41,-0.19%
2007/11/22,7.412,7.4105,7.4165,7.407,0.01%
2007/11/23,7.3993,7.4116,7.4116,7.3975,-0.17%
2007/11/26,7.3969,7.4025,7.4026,7.3922,-0.03%
2007/11/27,7.3872,7.3862,7.3885,7.385,-0.13%
2007/11/28,7.395,7.3845,7.402,7.3845,0.11%
2007/11/29,7.382,7.392,7.3983,7.38,-0.18%
2007/11/30,7.398,7.395,7.4007,7.383,0.22%
2007/12/3,7.4025,7.4091,7.4098,7.3985,0.06%
2007/12/4,7.3985,7.4025,7.4084,7.397,-0.05%
2007/12/5,7.3933,7.3967,7.4013,7.3848,-0.07%
2007/12/6,7.4135,7.3868,7.4135,7.3868,0.27%
2007/12/7,7.403,7.4085,7.4095,7.399,-0.14%
2007/12/10,7.396,7.401,7.401,7.3905,-0.09%
2007/12/11,7.3805,7.3955,7.3955,7.3755,-0.21%
2007/12/12,7.374,7.38,7.38,7.3674,-0.09%
2007/12/13,7.3675,7.3745,7.3745,7.364,-0.09%
2007/12/14,7.371,7.3665,7.373,7.3589,0.05%
2007/12/17,7.3796,7.3711,7.3836,7.3711,0.12%
2007/12/18,7.385,7.3815,7.385,7.374,0.07%
2007/12/19,7.377,7.3785,7.3838,7.374,-0.11%
2007/12/20,7.369,7.377,7.377,7.3665,-0.11%
2007/12/21,7.365,7.3699,7.3699,7.358,-0.05%
2007/12/24,7.3477,7.3647,7.3687,7.3477,-0.23%
2007/12/25,7.3301,7.3474,7.3474,7.3249,-0.24%
2007/12/26,7.3448,7.3264,7.3448,7.3264,0.20%
2007/12/27,7.3179,7.314,7.3204,7.3089,-0.37%
