,RSI,KD,MA,MACD,Strength,Trend
514,0,-2,2,-2,-2,0
515,0,2,1,-1,2,0
516,0,1,1,-1,1,0
517,0,1,-2,-1,1,-3
518,0,1,-1,-1,1,-2
519,0,-2,2,-1,-2,1
520,0,-1,1,-1,-1,0
521,2,-1,1,-1,1,0
522,2,-1,1,-1,1,0
523,2,2,1,-1,4,0
524,0,1,-2,-1,1,-3
525,0,1,-1,2,1,1
526,0,1,-1,1,1,0
527,-1,1,-1,1,0,0
528,-1,1,-1,1,0,0
529,-1,1,2,1,0,3
530,0,1,1,1,1,2
531,1,1,1,1,2,2
532,0,1,-2,1,1,-1
533,0,1,-1,1,1,0
534,0,1,2,1,1,3
535,0,1,-2,1,1,-1
536,-1,1,-1,1,0,0
537,-1,1,-1,1,0,0
538,-1,-2,-1,1,-3,0
539,0,-1,2,1,-1,3
540,-1,-1,1,1,-2,2
541,1,-1,1,-2,0,-1
542,0,2,1,-1,2,0
543,0,1,1,-1,1,0
544,1,1,1,-1,2,0
545,1,1,1,-1,2,0
546,0,1,-2,-1,1,-3
547,0,1,-1,-1,1,-2
548,0,1,2,-1,1,1
549,0,1,-2,-1,1,-3
550,0,1,-1,-1,1,-2
551,-2,-2,-1,2,-4,1
552,-1,-1,-1,1,-2,0
553,0,-1,2,1,-1,3
554,-1,2,-2,1,1,-1
555,0,1,2,1,1,3
556,0,1,1,1,1,2
557,0,1,-2,1,1,-1
558,1,1,2,1,2,3
559,0,-2,1,-2,-2,-1
560,0,-1,-2,-1,-1,-3
561,1,-1,2,-1,0,1
562,1,2,1,-1,3,0
563,1,1,1,-1,2,0
564,0,1,1,-1,1,0
565,0,1,-2,-1,1,-3
566,0,-2,-1,-1,-2,-2
567,-2,-1,-1,2,-3,1
568,-1,-1,-1,1,-2,0
569,-2,-1,-1,1,-3,0
570,-2,-1,-1,1,-3,0
571,-2,-1,-1,1,-3,0
572,-2,-1,-1,1,-3,0
573,-1,2,-1,1,1,0
574,-2,1,-1,1,-1,0
575,-2,1,2,1,-1,3
576,-2,1,-2,1,-1,-1
577,1,1,2,1,2,3
578,2,1,1,-2,3,-1
579,1,1,1,-1,2,0
580,1,1,1,-1,2,0
581,0,1,-2,-1,1,-3
582,0,1,-1,-1,1,-2
583,0,1,-1,-1,1,-2
